id_producto,producto,categoria
1,Producto_1,Hogar
2,Producto_2,Ropa
3,Producto_3,Electrónica
4,Producto_4,Ropa
5,Producto_5,Deportes
6,Producto_6,Alimentos
7,Producto_7,Hogar
8,Producto_8,Alimentos
9,Producto_9,Alimentos
10,Producto_10,Deportes
11,Producto_11,Hogar
12,Producto_12,Alimentos
13,Producto_13,Electrónica
14,Producto_14,Ropa
15,Producto_15,Ropa
16,Producto_16,Electrónica
17,Producto_17,Ropa
18,Producto_18,Deportes
19,Producto_19,Electrónica
20,Producto_20,Deportes
21,Producto_21,Hogar
22,Producto_22,Ropa
23,Producto_23,Deportes
24,Producto_24,Ropa
25,Producto_25,Hogar
26,Producto_26,Alimentos
27,Producto_27,Ropa
28,Producto_28,Hogar
29,Producto_29,Electrónica
30,Producto_30,Ropa
31,Producto_31,Electrónica
32,Producto_32,Hogar
33,Producto_33,Electrónica
34,Producto_34,Deportes
35,Producto_35,Alimentos
36,Producto_36,Electrónica
37,Producto_37,Deportes
38,Producto_38,Alimentos
39,Producto_39,Hogar
40,Producto_40,Hogar
41,Producto_41,Ropa
42,Producto_42,Deportes
43,Producto_43,Alimentos
44,Producto_44,Ropa
45,Producto_45,Ropa
46,Producto_46,Hogar
47,Producto_47,Electrónica
48,Producto_48,Alimentos
49,Producto_49,Hogar
50,Producto_50,Hogar
51,Producto_51,Electrónica
52,Producto_52,Deportes
53,Producto_53,Deportes
54,Producto_54,Alimentos
55,Producto_55,Electrónica
56,Producto_56,Electrónica
57,Producto_57,Ropa
58,Producto_58,Electrónica
59,Producto_59,Alimentos
60,Producto_60,Electrónica
61,Producto_61,Ropa
62,Producto_62,Deportes
63,Producto_63,Electrónica
64,Producto_64,Electrónica
65,Producto_65,Alimentos
66,Producto_66,Ropa
67,Producto_67,Electrónica
68,Producto_68,Alimentos
69,Producto_69,Ropa
70,Producto_70,Hogar
71,Producto_71,Ropa
72,Producto_72,Hogar
73,Producto_73,Hogar
74,Producto_74,Ropa
75,Producto_75,Ropa
76,Producto_76,Alimentos
77,Producto_77,Ropa
78,Producto_78,Deportes
79,Producto_79,Electrónica
80,Producto_80,Ropa
81,Producto_81,Hogar
82,Producto_82,Hogar
83,Producto_83,Ropa
84,Producto_84,Electrónica
85,Producto_85,Electrónica
86,Producto_86,Alimentos
87,Producto_87,Alimentos
88,Producto_88,Alimentos
89,Producto_89,Electrónica
90,Producto_90,Hogar
91,Producto_91,Alimentos
92,Producto_92,Ropa
93,Producto_93,Alimentos
94,Producto_94,Ropa
